state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
VA,6000,42,"252,000.00",45000,2.42,610000,2008
WA,49000,44,"2,156,000.00",862000,1.51,3256000,2008
WV,6000,43,"258,000.00",49000,2.16,557000,2008
WI,58000,80,"4,640,000.00",2366000,1.5,6960000,2008
WY,39000,61,"2,379,000.00",381000,1.37,3259000,2008
AL,9000,50,"450,000.00",68000,1.86,837000,2009
AZ,20000,52,"1,040,000.00",562000,1.45,1508000,2009
AR,24000,57,"1,368,000.00",301000,1.42,1943000,2009
CA,355000,33,"11,715,000.00",2109000,1.39,16284000,2009
CO,28000,53,"1,484,000.00",326000,1.43,2122000,2009
FL,170000,68,"11,560,000.00",1618000,1.42,16415000,2009
GA,65000,41,"2,665,000.00",346000,1.47,3918000,2009
HI,10000,95,"950,000.00",323000,1.76,1672000,2009
ID,103000,46,"4,738,000.00",1706000,1.52,7202000,2009
IL,8000,34,"272,000.00",57000,2.55,694000,2009
IN,9000,32,"288,000.00",101000,2.02,582000,2009
IA,26000,42,"1,092,000.00",339000,1.6,1747000,2009
KS,9000,63,"567,000.00",164000,1.85,1049000,2009
KY,5000,35,"175,000.00",25000,2.71,474000,2009
LA,37000,103,"3,811,000.00",610000,1.36,5183000,2009
ME,6000,50,"300,000.00",51000,1.95,585000,2009
MI,66000,60,"3,960,000.00",1505000,1.55,6138000,2009
MN,122000,65,"7,930,000.00",1427000,1.44,11419000,2009
MS,14000,104,"1,456,000.00",87000,1.32,1922000,2009
MO,11000,47,"517,000.00",57000,1.99,1029000,2009
MT,146000,70,"10,220,000.00",3577000,1.46,14921000,2009
NE,48000,56,"2,688,000.00",1102000,1.46,3924000,2009
NJ,11000,32,"352,000.00",70000,2.36,831000,2009
NM,7000,60,"420,000.00",143000,1.59,668000,2009
NY,45000,65,"2,925,000.00",936000,1.93,5645000,2009
NC,11000,45,"495,000.00",84000,2.57,1272000,2009
ND,450000,77,"34,650,000.00",7623000,1.38,47817000,2009
